Sl. No.,District,Cross Breed,Bivoltine,Total
1,Bengaluru Rural,3609.801,327.584,3937.385
2,Bengaluru Urban,700.678,567.224,1267.902
3,Chikkaballapura,11776.681,492.725,12269.406
4,Chitradurga,269.318,576.254,845.572
5,Davanagere,30.395,145.024,175.419
6,Kolar,8759.448,1303.006,10062.454
7,Ramanagara,18737.155,755.451,19492.606
8,Shivamogga,13.337,82.704,96.041
9,Tumkuru,1383.157,1471.296,2854.453
10,Chamarajanagar,188.931,44.882,233.813
11,Chikkamagalur,0.000,26.800,26.800
12,Dakshina Kannada,0.000,1.069,1.069
13,Hassan,0.000,852.615,852.615
14,Kodagu,0.000,4.624,4.624
15,Mandya,19591.651,1621.857,21213.508
16,Mysuru,328.690,844.193,1172.883
17,Udupi,0.000,2.622,2.622
18,Ballari,26.111,1171.196,1197.307
19,Bidar,23.935,129.462,153.397
20,Kalaburagi,1.262,237.890,239.152
21,Koppal,0.000,152.819,152.819
22,Raichur,0.000,246.031,246.031
23,Yadagir,0.000,91.442,91.442
24,Bagalakote,7.304,365.667,372.971
25,Belagavi,29.668,435.088,464.756
26,Vijayapura,1.745,132.437,134.182
27,Dharawad,3.733,58.586,62.319
28,Gadag,10.484,282.939,293.423
29,Haveri,59.107,1050.219,1109.326
30,Uttara Kannada,0.000,22.647,22.647
,Total ,65552.591,13496.353,79048.944
31,Mysuru Seed Area,652.544,,652.544
State Total,,66205.135,13496.353,79701.488
,,,,
,,,,
,,,,
,,,,
,,,,
